#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.20291}
r,l,t
1.0,18,2621.975754
33.0,182,2637.21848
63.0,149,2647.577994
48.0,106,2656.270201
4.0,32,2657.986182
126.0,3000,2916.501091
2.0,46,2917.832553
25.0,74,2923.160742
40.0,115,2932.80793
8.0,29,2935.179606
49.0,98,2943.243109
3.0,13,2943.547787
3.0,11,2943.662654
22.0,79,2950.19321
2.0,14,2950.252535
4.0,18,2951.04062
22.0,62,2953.706674
13.0,38,2956.594586
30.0,63,2961.306719
4.0,14,2961.688901
38.0,46,2965.253469
4.0,42,2966.576149
17.0,99,2973.920294
35.0,71,2979.262954
22.0,31,2981.466028
1.0,23,2981.483746
49.0,134,2992.829775
3.0,31,2993.169464
8.0,43,2994.159531
7.0,37,2996.102649
1.0,21,2996.123986
23.0,53,3000.063321
62.0,154,3011.49801
2.0,13,3011.545682
20.0,63,3014.59663
16.0,33,3017.04443
1.0,16,3017.066724
55.0,91,3023.772074
1.0,16,3023.784124
22.0,49,3027.183874
72.0,194,3043.130069
24.0,33,3045.238583
14.0,75,3050.407375
139.0,3000,3306.270215
57.0,93,3313.733545
37.0,61,3317.624749
55.0,157,3330.265175
76.0,184,3345.503223
12.0,49,3348.492358
64.0,186,3364.257401
66.0,127,3372.787814
31.0,88,3380.475008
50.0,104,3387.856203
51.0,91,3394.908609
55.0,90,3401.555645
69.0,118,3409.548236
60.0,90,3416.893226
45.0,65,3421.340764
51.0,169,3433.964522
12.0,26,3435.694085
41.0,57,3440.323671
45.0,70,3444.316737
42.0,54,3447.804401
14.0,23,3448.955091
77.0,158,3460.427281
48.0,101,3467.900703
8.0,32,3469.227997
72.0,120,3478.063412
2.0,61,3480.925753
15.0,57,3483.980221
65.0,154,3495.835046
1.0,28,3495.855235
11.0,12,3496.74963
55.0,131,3505.648125
16.0,37,3507.917091
1.0,10,3507.929784
13.0,18,3509.331857
61.0,101,3517.293495
56.0,127,3525.430395
2.0,21,3525.728718
15.0,44,3526.770404
16.0,65,3530.075615
143.0,3000,3783.749712
57.0,102,3792.275271
1.0,17,3792.290447
59.0,80,3798.747485
3.0,16,3799.10076
7.0,39,3800.036602
67.0,138,3811.248478
83.0,145,3821.426359
1.0,14,3821.445352
59.0,133,3832.086903
89.0,242,3852.343378
5.0,32,3853.318352
32.0,52,3857.122273
1.0,12,3857.142876
63.0,87,3863.858655
2.0,36,3865.710666
56.0,82,3871.583821
33.0,66,3875.355808
11.0,39,3876.630749
66.0,167,3890.028767
23.0,37,3893.063141
77.0,129,3903.860132
61.0,73,3909.859321
77.0,149,3921.766857
1.0,22,3921.784206
62.0,141,3933.368187
5.0,5,3933.756186
68.0,146,3943.719977
1.0,18,3943.738336
11.0,14,3944.632665
51.0,87,3951.322521
69.0,114,3960.054032
5.0,24,3960.443962
55.0,109,3968.944732
71.0,165,3982.348142
50.0,103,3989.646652
24.0,42,3993.005399
1.0,17,3993.582171
28.0,38,3996.483804
5.0,30,3996.976696
1.0,19,3996.992128
52.0,75,4003.23617
18.0,20,4004.873024
33.0,37,4007.577673
57.0,64,4012.25853
53.0,120,4022.403015
32.0,76,4026.557943
61.0,87,4033.037456
74.0,182,4047.600832
52.0,96,4054.460842
1.0,26,4054.598606
62.0,86,4061.446844
69.0,102,4067.649513
34.0,59,4070.313703
63.0,100,4076.95454
7.0,12,4077.712973
51.0,51,4081.655796
1.0,15,4082.569632
30.0,37,4085.052534
75.0,118,4093.85361
87.0,194,4109.038735
1.0,17,4109.052935
44.0,46,4112.482402
89.0,174,4125.722942
12.0,18,4126.946305
13.0,44,4128.530361
56.0,80,4133.151
55.0,130,4141.631027
32.0,87,4146.920382
61.0,90,4153.193447
139.0,3000,4411.491194
2.0,25,4411.562495
69.0,94,4417.741987
3.0,34,4418.575678
19.0,51,4421.593124
64.0,98,4429.121561
65.0,100,4437.229505
12.0,35,4438.215292
53.0,108,4445.434237
54.0,73,4450.919755
61.0,83,4457.319217
1.0,21,4457.336776
64.0,132,4468.242755
1.0,18,4468.257002
24.0,37,4470.856393
59.0,131,4480.510511
7.0,22,4481.412762
47.0,63,4485.292898
4.0,12,4485.626827
68.0,122,4495.686042
5.0,13,4496.103664
39.0,82,4502.47807
70.0,119,4511.398994
32.0,45,4514.298344
65.0,95,4521.634449
75.0,124,4530.994808
68.0,98,4538.361388
68.0,137,4548.596106
73.0,79,4555.246263
97.0,227,4573.355334
16.0,20,4574.720899
1.0,23,4574.738179
135.0,3000,4832.661436
61.0,155,4845.276711
13.0,55,4847.76868
9.0,40,4850.33673
14.0,38,4853.136292
72.0,137,4863.767743
63.0,132,4874.131373
85.0,131,4884.951045
1.0,26,4885.015168
76.0,116,4894.559452
144.0,3000,5151.192808
18.0,25,5152.688764
63.0,100,5159.234628
1.0,14,5159.245924
61.0,93,5166.860103
82.0,109,5174.868464
53.0,89,5180.321521
1.0,18,5180.335084
61.0,92,5187.390315
24.0,48,5189.47037
1.0,32,5189.632056
47.0,127,5199.060927
52.0,84,5205.254426
59.0,114,5213.991462
50.0,97,5220.02871
69.0,88,5226.691111
78.0,156,5238.069062
136.0,3000,5501.431439
93.0,182,5515.606449
61.0,128,5525.191591
58.0,89,5531.0994
89.0,168,5543.705885
134.0,3000,5831.283329
70.0,99,5838.808267
96.0,163,5854.128049
64.0,81,5860.934277
119.0,192,5878.462639
103.0,125,5890.915887
8.0,23,5891.513837
102.0,272,5918.741796
4.0,30,5919.361312
146.0,3000,6219.882726
1.0,18,6219.902875
1.0,31,6222.058503
94.0,142,6235.482612
83.0,121,6247.018288
1.0,17,6247.034096
81.0,118,6258.938051
3.0,29,6259.054446
4.0,25,6259.441544
9.0,14,6260.113825
86.0,122,6272.114384
17.0,22,6273.939735
76.0,92,6281.697843
76.0,94,6290.478356
56.0,95,6299.536588
126.0,266,6325.013823
89.0,114,6335.179048
104.0,187,6354.097139
65.0,105,6362.6675
31.0,52,6365.763764
92.0,174,6381.44776
53.0,99,6390.617975
91.0,119,6401.614946
63.0,86,6408.093144
96.0,132,6419.303596
140.0,3000,6721.241194
103.0,234,6744.235996
83.0,118,6754.606783
8.0,31,6755.481409
80.0,157,6768.650292
102.0,265,6793.230473
120.0,227,6814.622218
104.0,185,6832.097219
62.0,71,6839.277438
3.0,26,6839.390069
9.0,25,6840.295764
85.0,109,6848.714493
34.0,58,6852.095818
101.0,149,6866.132478
11.0,38,6867.752836
117.0,209,6887.84703
90.0,135,6898.644846
13.0,30,6899.78778
1.0,20,6899.805405
40.0,47,6903.67639
80.0,122,6913.464482
7.0,29,6914.034346
23.0,36,6916.58891
35.0,44,6920.011855
142.0,3000,7220.103372
75.0,90,7227.560843
89.0,117,7238.940668
109.0,122,7250.827784
54.0,78,7255.889405
111.0,170,7270.278865
72.0,94,7278.709539
99.0,172,7293.319774
119.0,154,7308.262915
124.0,225,7329.151899
1.0,22,7329.559284
7.0,33,7330.499376
6.0,29,7331.011207
86.0,130,7341.394346
35.0,51,7344.912922
79.0,80,7352.580864
83.0,134,7363.462726
98.0,157,7377.322308
12.0,40,7379.278933
106.0,142,7393.374505
110.0,188,7411.0337
13.0,57,7414.869888
125.0,222,7434.566269
56.0,83,7440.169803
125.0,312,7468.653938
14.0,35,7470.335861
111.0,164,7485.814065
60.0,80,7492.034303
53.0,68,7498.093161
47.0,65,7503.006982
60.0,117,7513.164617
86.0,151,7525.242413
58.0,70,7530.81761
112.0,203,7547.674781
239.0,2224,7734.6389
42.0,45,7738.099139
113.0,220,7755.402698
99.0,147,7765.613325
122.0,264,7786.403697
3.0,10,7786.486024
105.0,209,7803.757847
10.0,28,7804.559429
95.0,110,7813.250805
143.0,3000,8068.501347
68.0,85,8073.955787
100.0,161,8085.547132
104.0,127,8095.277243
123.0,211,8110.795027
121.0,253,8129.728245
60.0,83,8135.089698
54.0,65,8139.624643
1.0,23,8139.643899
108.0,225,8158.242738
107.0,177,8171.175894
84.0,133,8182.166066
106.0,199,8197.252774
68.0,97,8203.607596
103.0,152,8214.267318
11.0,13,8215.080095
85.0,96,8222.473493
36.0,63,8225.381779
143.0,3000,8478.545708
120.0,203,8493.045612
155.0,2980,8746.937033
95.0,136,8756.624047
1.0,17,8756.641324
108.0,139,8768.331548
130.0,257,8788.209248
124.0,192,8803.89982
114.0,144,8814.401762
110.0,152,8827.507869
142.0,3000,9078.686635
87.0,162,9090.749128
7.0,32,9091.42627
54.0,59,9095.608134
104.0,143,9106.459011
102.0,161,9120.082042
119.0,188,9135.521878
110.0,157,9147.217418
116.0,172,9159.753737
113.0,154,9172.095069
1.0,16,9172.10905
79.0,124,9181.807837
113.0,171,9194.702395
110.0,142,9205.071777
123.0,217,9222.680696
1.0,13,9222.693009
108.0,186,9238.622594
42.0,68,9242.945721
67.0,75,9248.530801
98.0,135,9259.138226
4.0,16,9259.26474
30.0,44,9261.698327
109.0,140,9274.011739
134.0,428,9309.230798
84.0,106,9317.456624
5.0,24,9317.845785
98.0,148,9327.881509
75.0,105,9334.784986
133.0,357,9364.227875
128.0,200,9380.621825
56.0,74,9385.423609
11.0,42,9386.425996
119.0,232,9406.24875
118.0,219,9424.13179
113.0,174,9438.400683
127.0,191,9453.01289
143.0,3000,9705.4605
103.0,139,9714.928204
125.0,231,9733.259296
133.0,277,9756.647725
123.0,237,9775.852882
98.0,121,9786.03387
122.0,165,9798.828776
132.0,204,9815.097243
5.0,18,9815.504853
115.0,176,9828.460986
13.0,35,9829.43774
73.0,95,9835.644716
142.0,3000,10095.52864
91.0,104,10105.191498
1.0,11,10105.202389
137.0,283,10131.014812
42.0,51,10135.235852
1.0,18,10135.250702
136.0,309,10162.159037
132.0,212,10180.773867
1.0,20,10180.792775
110.0,131,10192.860153
46.0,56,10197.028367
137.0,298,10222.351071
136.0,312,10247.548772
136.0,245,10266.704458
107.0,153,10279.210794
120.0,161,10292.416243
82.0,121,10301.502956
126.0,233,10320.044127
79.0,87,10327.056691
60.0,100,10335.052854
105.0,139,10345.60222
127.0,223,10364.12762
117.0,168,10376.167363
1.0,18,10376.184566
36.0,41,10379.078453
131.0,242,10399.41107
119.0,207,10417.412583
276.0,1818,10572.778182
133.0,345,10600.345165
103.0,131,10611.139873
135.0,240,10631.308499
78.0,99,10639.166101
134.0,333,10666.489175
91.0,110,10674.706869
132.0,239,10694.132523
14.0,34,10695.437729
125.0,220,10713.957064
85.0,104,10721.200781
140.0,342,10749.319941
22.0,65,10753.322034
14.0,25,10754.540289
119.0,174,10769.071975
1.0,18,10769.085159
89.0,101,10777.998945
82.0,131,10788.43359
68.0,71,10794.599996
127.0,247,10815.272994
9.0,10,10816.055039
86.0,96,10823.215158
90.0,111,10831.983557
112.0,176,10845.091517
118.0,176,10858.303895
146.0,3000,11112.203903
136.0,228,11130.323298
130.0,241,11148.861827
118.0,231,11165.69439
124.0,171,11179.518434
34.0,62,11182.343099
32.0,44,11184.952091
140.0,340,11212.075315
1.0,22,11212.094484
115.0,206,11228.900039
137.0,171,11242.901788
109.0,177,11255.087937
131.0,269,11276.738667
57.0,199,11293.38375
77.0,97,11300.673141
1.0,17,11300.685611
50.0,50,11304.631396
70.0,82,11311.29904
138.0,356,11340.229558
1.0,21,11340.258017
113.0,140,11352.926316
117.0,159,11366.502402
100.0,135,11378.450388
61.0,90,11385.255013
138.0,210,11403.343051
303.0,786,11471.839922
99.0,113,11481.89168
126.0,190,11497.508912
86.0,113,11505.01903
83.0,98,11512.772777
138.0,260,11534.246063
139.0,209,11551.931898
118.0,156,11564.606779
220.0,385,11595.844695
122.0,155,11607.172384
81.0,92,11614.184447
98.0,126,11624.481428
54.0,73,11628.718018
135.0,236,11646.674428
112.0,168,11660.2264
170.0,281,11681.757294
136.0,212,11697.368941
20.0,23,11699.018031
151.0,254,11719.112913
119.0,183,11732.261183
1.0,22,11732.284044
133.0,175,11746.611038
1.0,21,11746.625994
311.0,541,11791.320565
130.0,202,11805.488931
29.0,54,11808.437566
229.0,508,11851.612951
15.0,17,11852.796268
54.0,70,11857.365963
280.0,544,11902.9897
179.0,448,11941.003429
402.0,606,11996.706768
118.0,134,12007.781969
209.0,399,12041.599648
201.0,328,12070.062588
1.0,10,12070.072911
107.0,143,12082.393098
117.0,222,12100.431154
116.0,189,12116.517322
252.0,1433,12239.799845
1.0,14,12239.821027
399.0,691,12296.069616
102.0,141,12307.20243
53.0,59,12311.459413
82.0,130,12320.586047
114.0,159,12331.835992
104.0,131,12342.339534
7.0,10,12342.792465
122.0,170,12356.552707
137.0,223,12374.001908
132.0,250,12394.197485
1.0,24,12394.215171
262.0,364,12424.779398
87.0,126,12433.149611
89.0,116,12440.767025
138.0,256,12462.418286
11.0,21,12463.274135
45.0,53,12467.41496
116.0,195,12483.321528
36.0,60,12486.195629
288.0,828,12553.821841
121.0,174,12567.06142
137.0,292,12590.012291
264.0,497,12631.010739
1.0,21,12631.028195
54.0,65,12636.313557
48.0,86,12641.20792
137.0,242,12660.617467
103.0,152,12673.035851
81.0,118,12680.958231
101.0,131,12690.935794
1.0,20,12690.950798
59.0,67,12696.087586
288.0,588,12745.084073
243.0,440,12780.293712
16.0,40,12781.646479
3.0,28,12781.984497
253.0,495,12824.451782
136.0,311,12850.306236
129.0,203,12866.63501
85.0,87,12874.108104
100.0,122,12883.515114
132.0,185,12899.535061
1.0,29,12899.905448
83.0,123,12908.411605
367.0,3000,13173.092484
289.0,636,13227.878004
175.0,330,13255.123665
138.0,184,13270.715721
117.0,187,13286.426613
174.0,311,13311.417599
408.0,666,13368.062333
120.0,170,13381.091387
1.0,25,13381.116753
269.0,382,13415.037732
1.0,21,13415.052838
118.0,132,13426.10023
244.0,384,13458.739662
12.0,14,13459.967297
276.0,571,13508.87948
291.0,503,13551.897734
290.0,465,13591.469583
265.0,530,13636.237577
3.0,12,13636.526815
136.0,319,13664.157791
131.0,155,13677.251542
277.0,508,13719.353902
72.0,106,13726.129096
1.0,13,13726.152195
296.0,550,13773.80146
141.0,295,13798.785172
4.0,24,13798.923275
125.0,158,13812.300642
283.0,519,13856.039581
8.0,28,13856.880753
398.0,764,13923.080914
120.0,158,13936.344423
295.0,487,13977.305123
281.0,633,14030.059985
93.0,164,14044.172377
129.0,184,14058.1593
281.0,558,14107.026391
47.0,76,14111.289126
35.0,36,14114.274307
166.0,292,14142.91577
130.0,191,14158.727782
51.0,84,14166.303851
134.0,213,14186.754267
116.0,139,14200.442855
373.0,609,14262.45852
45.0,53,14268.594305
123.0,175,14289.143866
129.0,245,14320.291998
311.0,501,14362.9387
1.0,19,14362.952209
403.0,1042,14453.240367
1.0,15,14453.252703
83.0,105,14461.052286
139.0,387,14492.601429
132.0,249,14511.536611
1.0,14,14511.547942
17.0,22,14512.814204
298.0,1410,14629.600826
