command line args: /home/flo/Dokumente/Master_GuidedResearch/state_space_model_trainer.py --latent-space-model sSSM --lr 0.0005 --skip-frames 4 --weight-decay 0 --render --load-policy-model --batch-size 5 --sample-memory-size 50 --rollout-steps 10

Updates 113, num timesteps 570, FPS 33, frame loss 0.55368, reward loss 0.92490, pred reward 0.00000, reward 0.00000, time 0.28719 min
Updates 115, num timesteps 580, FPS 33, frame loss 0.55233, reward loss 0.92517, pred reward 0.00000, reward 0.00000, time 0.29129 min
Updates 117, num timesteps 590, FPS 33, frame loss 0.55093, reward loss 0.92537, pred reward 0.00000, reward 0.00000, time 0.29539 min
Updates 119, num timesteps 600, FPS 33, frame loss 0.54954, reward loss 0.92581, pred reward 0.00000, reward 0.00000, time 0.29948 min
Updates 119, num timesteps 600, FPS 33, frame loss 0.54954, reward loss 0.92581, pred reward 0.00000, reward 0.00000, time 0.29953 min
Updates 121, num timesteps 610, FPS 33, frame loss 0.54817, reward loss 0.92596, pred reward 0.00000, reward 0.00000, time 0.30757 min
Updates 123, num timesteps 620, FPS 33, frame loss 0.54674, reward loss 0.92645, pred reward 0.00000, reward 0.00000, time 0.31165 min
Updates 125, num timesteps 630, FPS 33, frame loss 0.54531, reward loss 0.92640, pred reward 0.00000, reward 0.00000, time 0.31573 min
Updates 127, num timesteps 640, FPS 33, frame loss 0.54390, reward loss 0.92658, pred reward 0.00000, reward 0.00000, time 0.31981 min
Updates 129, num timesteps 650, FPS 33, frame loss 0.54244, reward loss 0.92648, pred reward 0.00000, reward 0.00000, time 0.32391 min
Updates 129, num timesteps 650, FPS 33, frame loss 0.54244, reward loss 0.92648, pred reward 0.00000, reward 0.00000, time 0.32397 min
Updates 131, num timesteps 660, FPS 33, frame loss 0.54101, reward loss 0.92641, pred reward 0.00000, reward 0.00000, time 0.33208 min
Updates 133, num timesteps 670, FPS 33, frame loss 0.53955, reward loss 0.92645, pred reward 0.00000, reward 0.00000, time 0.33618 min
Updates 135, num timesteps 680, FPS 33, frame loss 0.53811, reward loss 0.92673, pred reward 0.00000, reward 0.00000, time 0.34030 min
Updates 137, num timesteps 690, FPS 33, frame loss 0.53663, reward loss 0.92657, pred reward 0.00000, reward 0.00000, time 0.34450 min
Updates 139, num timesteps 700, FPS 33, frame loss 0.53514, reward loss 0.92702, pred reward 0.00000, reward 0.00000, time 0.34865 min
Updates 139, num timesteps 700, FPS 33, frame loss 0.53514, reward loss 0.92702, pred reward 0.00000, reward 0.00000, time 0.34871 min
Updates 141, num timesteps 710, FPS 33, frame loss 0.53362, reward loss 0.92746, pred reward 0.00000, reward 0.00000, time 0.35704 min
Updates 143, num timesteps 720, FPS 33, frame loss 0.53213, reward loss 0.92778, pred reward 0.00000, reward 0.00000, time 0.36115 min
Updates 145, num timesteps 730, FPS 33, frame loss 0.53060, reward loss 0.92802, pred reward 0.00000, reward 0.00000, time 0.36536 min
Updates 147, num timesteps 740, FPS 33, frame loss 0.52906, reward loss 0.92833, pred reward 0.00000, reward 0.00000, time 0.36950 min
Updates 149, num timesteps 750, FPS 33, frame loss 0.52755, reward loss 0.92848, pred reward 0.00000, reward 0.00000, time 0.37364 min
Updates 149, num timesteps 750, FPS 33, frame loss 0.52755, reward loss 0.92848, pred reward 0.00000, reward 0.00000, time 0.37370 min
Updates 151, num timesteps 760, FPS 33, frame loss 0.52600, reward loss 0.92886, pred reward 0.00000, reward 0.00000, time 0.38177 min
Updates 153, num timesteps 770, FPS 33, frame loss 0.52446, reward loss 0.92917, pred reward 0.00000, reward 0.00000, time 0.38588 min
Updates 155, num timesteps 780, FPS 33, frame loss 0.52296, reward loss 0.92952, pred reward 0.00000, reward 0.00000, time 0.38999 min
Updates 157, num timesteps 790, FPS 33, frame loss 0.52146, reward loss 0.92987, pred reward 0.00000, reward 0.00000, time 0.39410 min
Updates 159, num timesteps 800, FPS 33, frame loss 0.52001, reward loss 0.93025, pred reward 0.00000, reward 0.00000, time 0.39828 min
Updates 159, num timesteps 800, FPS 33, frame loss 0.52001, reward loss 0.93025, pred reward 0.00000, reward 0.00000, time 0.39834 min
Updates 161, num timesteps 810, FPS 33, frame loss 0.51856, reward loss 0.93037, pred reward 0.00000, reward 0.00000, time 0.40650 min
Updates 163, num timesteps 820, FPS 33, frame loss 0.51724, reward loss 0.93062, pred reward 0.00000, reward 0.00000, time 0.41060 min
Updates 165, num timesteps 830, FPS 33, frame loss 0.51589, reward loss 0.93088, pred reward 0.00000, reward 0.00000, time 0.41480 min
Updates 167, num timesteps 840, FPS 33, frame loss 0.51454, reward loss 0.93108, pred reward 0.00000, reward 0.00000, time 0.41890 min
Updates 169, num timesteps 850, FPS 33, frame loss 0.51319, reward loss 0.93133, pred reward 0.00000, reward 0.00000, time 0.42302 min
Updates 169, num timesteps 850, FPS 33, frame loss 0.51319, reward loss 0.93133, pred reward 0.00000, reward 0.00000, time 0.42307 min
Updates 171, num timesteps 860, FPS 33, frame loss 0.51185, reward loss 0.93131, pred reward 0.00000, reward 0.00000, time 0.43100 min
Updates 173, num timesteps 870, FPS 33, frame loss 0.51059, reward loss 0.93139, pred reward 0.00000, reward 0.00000, time 0.43510 min
Updates 175, num timesteps 880, FPS 33, frame loss 0.50936, reward loss 0.93134, pred reward 0.00000, reward 0.00000, time 0.43918 min
Updates 177, num timesteps 890, FPS 33, frame loss 0.50814, reward loss 0.93148, pred reward 0.00000, reward 0.00000, time 0.44327 min
Updates 179, num timesteps 900, FPS 33, frame loss 0.50692, reward loss 0.93180, pred reward 0.00000, reward 0.00000, time 0.44737 min
Updates 179, num timesteps 900, FPS 33, frame loss 0.50692, reward loss 0.93180, pred reward 0.00000, reward 0.00000, time 0.44743 min
Updates 181, num timesteps 910, FPS 33, frame loss 0.50573, reward loss 0.93198, pred reward 0.00000, reward 0.00000, time 0.45544 min
Updates 183, num timesteps 920, FPS 33, frame loss 0.50451, reward loss 0.93203, pred reward 0.00000, reward 0.00000, time 0.45951 min
Updates 185, num timesteps 930, FPS 33, frame loss 0.50339, reward loss 0.93220, pred reward 0.00000, reward 0.00000, time 0.46372 min
Updates 187, num timesteps 940, FPS 33, frame loss 0.50227, reward loss 0.93213, pred reward 0.00000, reward 0.00000, time 0.46785 min
Updates 189, num timesteps 950, FPS 33, frame loss 0.50115, reward loss 0.93228, pred reward 0.00000, reward 0.00000, time 0.47196 min
Updates 189, num timesteps 950, FPS 33, frame loss 0.50115, reward loss 0.93228, pred reward 0.00000, reward 0.00000, time 0.47203 min
Updates 191, num timesteps 960, FPS 33, frame loss 0.50006, reward loss 0.93196, pred reward 0.00000, reward 0.00000, time 0.47996 min
Updates 193, num timesteps 970, FPS 33, frame loss 0.49897, reward loss 0.93215, pred reward 0.00000, reward 0.00000, time 0.48418 min
Updates 195, num timesteps 980, FPS 33, frame loss 0.49789, reward loss 0.93230, pred reward 0.00000, reward 0.00000, time 0.48831 min
Updates 197, num timesteps 990, FPS 33, frame loss 0.49684, reward loss 0.93246, pred reward 0.00000, reward 0.00000, time 0.49242 min
Updates 199, num timesteps 1000, FPS 33, frame loss 0.49579, reward loss 0.93259, pred reward 0.00000, reward 0.00000, time 0.49653 min
Updates 199, num timesteps 1000, FPS 33, frame loss 0.49579, reward loss 0.93259, pred reward 0.00000, reward 0.00000, time 0.49664 min
Updates 201, num timesteps 1010, FPS 33, frame loss 0.49479, reward loss 0.93276, pred reward 0.00000, reward 0.00000, time 0.50479 min
Updates 203, num timesteps 1020, FPS 33, frame loss 0.49378, reward loss 0.93282, pred reward 0.00000, reward 0.00000, time 0.50898 min
Updates 205, num timesteps 1030, FPS 33, frame loss 0.49278, reward loss 0.93290, pred reward 0.00000, reward 0.00000, time 0.51314 min
Updates 207, num timesteps 1040, FPS 33, frame loss 0.49181, reward loss 0.93300, pred reward 0.00000, reward 0.00000, time 0.51743 min
Updates 209, num timesteps 1050, FPS 33, frame loss 0.49084, reward loss 0.93298, pred reward 0.00000, reward 0.00000, time 0.52159 min
Updates 209, num timesteps 1050, FPS 33, frame loss 0.49084, reward loss 0.93298, pred reward 0.00000, reward 0.00000, time 0.52170 min
Updates 211, num timesteps 1060, FPS 33, frame loss 0.48988, reward loss 0.93307, pred reward 0.00000, reward 0.00000, time 0.52964 min
Updates 213, num timesteps 1070, FPS 33, frame loss 0.48894, reward loss 0.93314, pred reward 0.00000, reward 0.00000, time 0.53387 min
Updates 215, num timesteps 1080, FPS 33, frame loss 0.48801, reward loss 0.93308, pred reward 0.00000, reward 0.00000, time 0.53806 min
Updates 217, num timesteps 1090, FPS 33, frame loss 0.48709, reward loss 0.93330, pred reward 0.00000, reward 0.00000, time 0.54224 min
Updates 219, num timesteps 1100, FPS 33, frame loss 0.48616, reward loss 0.93350, pred reward 0.00000, reward 0.00000, time 0.54641 min
Updates 219, num timesteps 1100, FPS 33, frame loss 0.48616, reward loss 0.93350, pred reward 0.00000, reward 0.00000, time 0.54651 min
Updates 221, num timesteps 1110, FPS 33, frame loss 0.48527, reward loss 0.93378, pred reward 0.00000, reward 0.00000, time 0.55460 min
Updates 223, num timesteps 1120, FPS 33, frame loss 0.48440, reward loss 0.93390, pred reward 0.00000, reward 0.00000, time 0.55886 min
Updates 225, num timesteps 1130, FPS 33, frame loss 0.48355, reward loss 0.93402, pred reward 0.00000, reward 0.00000, time 0.56302 min
Updates 227, num timesteps 1140, FPS 33, frame loss 0.48272, reward loss 0.93408, pred reward 0.00000, reward 0.00000, time 0.56718 min
Updates 229, num timesteps 1150, FPS 33, frame loss 0.48187, reward loss 0.93422, pred reward 0.00000, reward 0.00000, time 0.57133 min
Updates 229, num timesteps 1150, FPS 33, frame loss 0.48187, reward loss 0.93422, pred reward 0.00000, reward 0.00000, time 0.57142 min
Updates 231, num timesteps 1160, FPS 33, frame loss 0.48107, reward loss 0.93412, pred reward 0.00000, reward 0.00000, time 0.57955 min
Updates 233, num timesteps 1170, FPS 33, frame loss 0.48027, reward loss 0.93438, pred reward 0.00000, reward 0.00000, time 0.58368 min
Updates 235, num timesteps 1180, FPS 33, frame loss 0.47947, reward loss 0.93431, pred reward 0.00000, reward 0.00000, time 0.58781 min
Updates 237, num timesteps 1190, FPS 33, frame loss 0.47870, reward loss 0.93427, pred reward 0.00000, reward 0.00000, time 0.59195 min
Updates 239, num timesteps 1200, FPS 33, frame loss 0.47791, reward loss 0.93444, pred reward 0.00000, reward 0.00000, time 0.59610 min
Updates 239, num timesteps 1200, FPS 33, frame loss 0.47791, reward loss 0.93444, pred reward 0.00000, reward 0.00000, time 0.59620 min
