command line args: state_space_model_trainer.py --latent-space-model dSSM_DET --lr 0.0001 --skip-frames 4 --weight-decay 0 --load-policy-model --batch-size 150 --sample-memory-size 1500 --rollout-steps 10 --port 5555

Updates 160, num timesteps 24150, FPS 108, frame loss 0.20977, reward loss 0.15415, pred reward 0.00000, reward 0.00000, time 3.70758 min
Updates 161, num timesteps 24300, FPS 108, frame loss 0.20936, reward loss 0.15395, pred reward 0.00000, reward 0.00000, time 3.72614 min
Updates 162, num timesteps 24450, FPS 108, frame loss 0.20894, reward loss 0.15374, pred reward 0.00000, reward 0.00000, time 3.74467 min
Updates 163, num timesteps 24600, FPS 108, frame loss 0.20852, reward loss 0.15362, pred reward 0.00000, reward 0.00000, time 3.76343 min
Updates 164, num timesteps 24750, FPS 109, frame loss 0.20810, reward loss 0.15345, pred reward 0.00000, reward 0.00000, time 3.78210 min
Updates 165, num timesteps 24900, FPS 109, frame loss 0.20768, reward loss 0.15328, pred reward 0.00000, reward 0.00000, time 3.80066 min
Updates 166, num timesteps 25050, FPS 109, frame loss 0.20727, reward loss 0.15314, pred reward 0.00000, reward 0.00000, time 3.81931 min
Updates 167, num timesteps 25200, FPS 109, frame loss 0.20685, reward loss 0.15298, pred reward 0.00000, reward 0.00000, time 3.83789 min
Updates 168, num timesteps 25350, FPS 109, frame loss 0.20644, reward loss 0.15284, pred reward 0.00000, reward 0.00000, time 3.85643 min
Updates 169, num timesteps 25500, FPS 109, frame loss 0.20602, reward loss 0.15285, pred reward 0.00000, reward 0.00000, time 3.87505 min
Updates 169, num timesteps 25500, FPS 109, frame loss 0.20602, reward loss 0.15285, pred reward 0.00000, reward 0.00000, time 3.87521 min
Updates 170, num timesteps 25650, FPS 109, frame loss 0.20561, reward loss 0.15269, pred reward 0.00000, reward 0.00000, time 3.89394 min
Updates 171, num timesteps 25800, FPS 109, frame loss 0.20519, reward loss 0.15249, pred reward 0.00000, reward 0.00000, time 3.91263 min
Updates 172, num timesteps 25950, FPS 110, frame loss 0.20477, reward loss 0.15235, pred reward 0.00000, reward 0.00000, time 3.93120 min
Updates 173, num timesteps 26100, FPS 110, frame loss 0.20434, reward loss 0.15221, pred reward 0.00000, reward 0.00000, time 3.94984 min
Updates 174, num timesteps 26250, FPS 110, frame loss 0.20392, reward loss 0.15205, pred reward 0.00000, reward 0.00000, time 3.96844 min
Updates 175, num timesteps 26400, FPS 110, frame loss 0.20350, reward loss 0.15192, pred reward 0.00000, reward 0.00000, time 3.98651 min
Updates 176, num timesteps 26550, FPS 110, frame loss 0.20309, reward loss 0.15175, pred reward 0.00000, reward 0.00000, time 4.00535 min
Updates 177, num timesteps 26700, FPS 110, frame loss 0.20267, reward loss 0.15162, pred reward 0.00000, reward 0.00000, time 4.02396 min
Updates 178, num timesteps 26850, FPS 110, frame loss 0.20225, reward loss 0.15160, pred reward 0.00000, reward 0.00000, time 4.04255 min
Updates 179, num timesteps 27000, FPS 110, frame loss 0.20182, reward loss 0.15158, pred reward 0.00000, reward 0.00000, time 4.06114 min
Updates 179, num timesteps 27000, FPS 110, frame loss 0.20182, reward loss 0.15158, pred reward 0.00000, reward 0.00000, time 4.06127 min
Updates 180, num timesteps 27150, FPS 110, frame loss 0.20140, reward loss 0.15140, pred reward 0.00000, reward 0.00000, time 4.07996 min
Updates 181, num timesteps 27300, FPS 111, frame loss 0.20098, reward loss 0.15126, pred reward 0.00000, reward 0.00000, time 4.09858 min
Updates 182, num timesteps 27450, FPS 111, frame loss 0.20056, reward loss 0.15120, pred reward 0.00000, reward 0.00000, time 4.11741 min
