command line args: I2A/EnvironmentModel/make_environment_model.py --env-name HuntMiniPacmanNoFrameskip-v0 --use-class-labels --load-policy-model --batch-size 2000 --lr 7e-4 --eps 1e-8 --reward-loss-coef 0.01 --save-environment-model-dir trained_models/environment_models/ --load-policy-model-dir trained_models/a2c/ --port 5025

Updates 1319, num timesteps 2640000, FPS 2321, frame loss 0.05684, reward loss 5.57454, pred reward 0.00000, reward 0.00000, time 18.95457 min
Updates 1329, num timesteps 2660000, FPS 2321, frame loss 0.05647, reward loss 5.57457, pred reward 0.00000, reward 0.00000, time 19.09364 min
Updates 1339, num timesteps 2680000, FPS 2321, frame loss 0.05610, reward loss 5.57385, pred reward 0.00000, reward 0.00000, time 19.23741 min
Updates 1349, num timesteps 2700000, FPS 2322, frame loss 0.05574, reward loss 5.57162, pred reward 0.00000, reward 0.00000, time 19.37694 min
Updates 1359, num timesteps 2720000, FPS 2324, frame loss 0.05538, reward loss 5.57428, pred reward 0.00000, reward 0.00000, time 19.50306 min
Updates 1369, num timesteps 2740000, FPS 2324, frame loss 0.05503, reward loss 5.57255, pred reward 0.00000, reward 0.00000, time 19.64703 min
Updates 1379, num timesteps 2760000, FPS 2324, frame loss 0.05468, reward loss 5.57086, pred reward 0.00000, reward 0.00000, time 19.78801 min
Updates 1389, num timesteps 2780000, FPS 2325, frame loss 0.05434, reward loss 5.56883, pred reward 0.00000, reward 0.00000, time 19.92482 min
Updates 1399, num timesteps 2800000, FPS 2325, frame loss 0.05400, reward loss 5.56911, pred reward 0.00000, reward 0.00000, time 20.06600 min
Updates 1409, num timesteps 2820000, FPS 2326, frame loss 0.05367, reward loss 5.56971, pred reward 0.00000, reward 0.00000, time 20.20053 min
Updates 1419, num timesteps 2840000, FPS 2324, frame loss 0.05334, reward loss 5.56712, pred reward 0.00000, reward 0.00000, time 20.35876 min
Updates 1429, num timesteps 2860000, FPS 2325, frame loss 0.05302, reward loss 5.56640, pred reward 0.00000, reward 0.00000, time 20.49728 min
Updates 1439, num timesteps 2880000, FPS 2326, frame loss 0.05270, reward loss 5.56603, pred reward 0.00000, reward 0.00000, time 20.63299 min
Updates 1449, num timesteps 2900000, FPS 2322, frame loss 0.05239, reward loss 5.56459, pred reward 0.00000, reward 0.00000, time 20.81484 min
Updates 1459, num timesteps 2920000, FPS 2322, frame loss 0.05207, reward loss 5.56613, pred reward 0.00000, reward 0.00000, time 20.95190 min
Updates 1469, num timesteps 2940000, FPS 2322, frame loss 0.05177, reward loss 5.56205, pred reward 0.00000, reward 0.00000, time 21.09502 min
Updates 1479, num timesteps 2960000, FPS 2323, frame loss 0.05146, reward loss 5.56000, pred reward 0.00000, reward 0.00000, time 21.23098 min
Updates 1489, num timesteps 2980000, FPS 2324, frame loss 0.05116, reward loss 5.56015, pred reward 0.00000, reward 0.00000, time 21.37088 min
Updates 1499, num timesteps 3000000, FPS 2324, frame loss 0.05087, reward loss 5.55527, pred reward 0.00000, reward 0.00000, time 21.50912 min
Updates 1509, num timesteps 3020000, FPS 2325, frame loss 0.05058, reward loss 5.55254, pred reward 0.00000, reward 0.00000, time 21.64850 min
Updates 1519, num timesteps 3040000, FPS 2325, frame loss 0.05029, reward loss 5.55347, pred reward 0.00000, reward 0.00000, time 21.78647 min
Updates 1529, num timesteps 3060000, FPS 2326, frame loss 0.05001, reward loss 5.55340, pred reward 0.00000, reward 0.00000, time 21.91968 min
Updates 1539, num timesteps 3080000, FPS 2327, frame loss 0.04973, reward loss 5.54951, pred reward 0.00000, reward 0.00000, time 22.05749 min
Updates 1549, num timesteps 3100000, FPS 2328, frame loss 0.04945, reward loss 5.54563, pred reward 0.00000, reward 0.00000, time 22.18811 min
